participant_id,task,input_type,input_value,timestamp,task_completion_time_in_ms
3,B,key_pressed,2,2021-05-23 20:12:28.899646,
3,B,key_pressed,0,2021-05-23 20:12:29.116024,
3,B,key_pressed,=,2021-05-23 20:12:29.333129,15919.0
3,D,key_pressed,(,2021-05-23 20:11:45.459239,
3,D,key_pressed,3,2021-05-23 20:11:45.930525,
3,D,key_pressed,**,2021-05-23 20:11:46.219572,
3,D,key_pressed,2,2021-05-23 20:11:46.339862,
3,D,key_pressed,+,2021-05-23 20:11:47.660065,
3,D,key_pressed,4,2021-05-23 20:11:48.076035,
3,D,key_pressed,**,2021-05-23 20:11:48.324049,
3,D,key_pressed,2,2021-05-23 20:11:48.580136,
3,D,key_pressed,),2021-05-23 20:11:49.612235,
3,D,key_pressed,*,2021-05-23 20:11:50.203844,
3,D,key_pressed,1,2021-05-23 20:11:50.887752,
3,D,key_pressed,5,2021-05-23 20:11:51.005958,
3,D,key_pressed,.,2021-05-23 20:11:51.544039,
3,D,key_pressed,2,2021-05-23 20:11:51.851466,
3,D,key_pressed,=,2021-05-23 20:11:52.687962,7229.0
4,A,button_clicked,1,2021-05-23 20:14:52.944741,
4,A,button_clicked,+,2021-05-23 20:14:53.804673,
4,A,button_clicked,2,2021-05-23 20:14:54.344552,
4,A,button_clicked,+,2021-05-23 20:14:54.896336,
4,A,button_clicked,3,2021-05-23 20:14:55.376368,
4,A,button_clicked,+,2021-05-23 20:14:55.880935,
4,A,button_clicked,4,2021-05-23 20:14:56.472955,
4,A,button_clicked,+,2021-05-23 20:14:56.984387,
4,A,button_clicked,5,2021-05-23 20:14:57.560337,
4,A,button_clicked,+,2021-05-23 20:14:58.288378,
4,A,button_clicked,6,2021-05-23 20:14:58.826361,
4,A,button_clicked,+,2021-05-23 20:14:59.385070,
4,A,button_clicked,7,2021-05-23 20:15:00.288381,
4,A,button_clicked,+,2021-05-23 20:15:01.224524,
4,A,button_clicked,8,2021-05-23 20:15:01.927984,
4,A,button_clicked,+,2021-05-23 20:15:02.656307,
4,A,button_clicked,9,2021-05-23 20:15:03.336952,
4,A,button_clicked,+,2021-05-23 20:15:03.960707,
4,A,button_clicked,1,2021-05-23 20:15:04.528644,
4,A,button_clicked,0,2021-05-23 20:15:04.936910,
4,A,button_clicked,+,2021-05-23 20:15:05.559932,
4,A,button_clicked,1,2021-05-23 20:15:05.958121,
4,A,button_clicked,1,2021-05-23 20:15:06.296498,
4,A,button_clicked,+,2021-05-23 20:15:06.872868,
4,A,button_clicked,1,2021-05-23 20:15:07.968402,
4,A,button_clicked,2,2021-05-23 20:15:08.336263,
4,A,button_clicked,+,2021-05-23 20:15:09.240423,
4,A,button_clicked,1,2021-05-23 20:15:09.872474,
4,A,button_clicked,3,2021-05-23 20:15:10.624080,
4,A,button_clicked,+,2021-05-23 20:15:11.280136,
4,A,button_clicked,1,2021-05-23 20:15:11.768879,
4,A,button_clicked,4,2021-05-23 20:15:12.216405,
4,A,button_clicked,+,2021-05-23 20:15:13.010762,
4,A,button_clicked,1,2021-05-23 20:15:13.623475,
4,A,button_clicked,5,2021-05-23 20:15:13.963329,
4,A,button_clicked,+,2021-05-23 20:15:14.576493,
4,A,button_clicked,0,2021-05-23 20:15:15.136561,
4,A,button_clicked,1,2021-05-23 20:15:15.712326,
4,A,button_clicked,delete,2021-05-23 20:15:16.696598,
4,A,button_clicked,delete,2021-05-23 20:15:16.848678,
4,A,button_clicked,delete,2021-05-23 20:15:16.977243,
